"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"Incarnate Word",54.4613350958361,315,15.6753509203124,245,32.0321469575201,257,41.6391275611368,318
2026,"Indiana",48.9634478996181,70,15.0711532330522,281,29.2504570383912,125,36.9885433715221,234
2026,"Indiana St.",50.2137894174238,116,14.8655350218382,300,31.7647058823529,242,28.7546766435061,40
2026,"Iona",48.9075203252033,65,16.6183271929137,178,31.2133891213389,211,28.760162601626,41
2026,"Iowa",52.6769230769231,252,20.9986250900239,14,28.042328042328,68,39.1384615384615,289
2026,"Iowa St.",49.5166487647691,84,22.3893876890722,4,28.1138790035587,72,27.8732545649839,33
2026,"Jackson St.",52.9791459781529,265,16.4679610314701,188,37.2268907563025,359,41.8570009930487,319
2026,"Jacksonville",54.7898640296663,325,14.9654083463858,290,29.1397849462366,119,42.7070457354759,335
2026,"Jacksonville St.",49.6235884567127,87,16.2241216809126,213,28.0364372469636,67,38.7076537013802,274
2026,"James Madison",48.9299090422686,67,12.7222784444123,361,29.4915254237288,133,40.7704654895666,309
2026,"Kansas",45.2346743295019,4,13.9703735532455,337,30.1400147383935,168,27.6819923371648,31
2026,"Kansas City",56.2677254679524,348,16.4269002936931,193,35.9293873312565,353,31.4237095859331,92
2026,"Kansas St.",52.4626865671642,237,17.0609994231858,154,33.9457567804024,317,35.1741293532338,181
2026,"Kennesaw St.",48.5013623978202,50,16.0692625276816,222,31.260945709282,213,47.4659400544959,358
2026,"Kent St.",52.0744680851064,218,16.3322650041709,203,29.6362023070098,142,39.8404255319149,296
2026,"Kentucky",48.7841191066998,59,15.8867280503993,229,30.0884955752212,163,36.9727047146402,233
2026,"LIU",49.79633401222,91,18.9231033889558,54,32.6068734283319,289,34.1140529531568,153
2026,"LSU",50.8928571428571,152,13.9122729286664,340,31.6971713810316,236,37.8061224489796,256
2026,"La Salle",54.951895868704,329,17.1457020387843,141,32.3529411764706,275,31.4657611771364,94
2026,"Lafayette",53.5853251806559,286,15.1265951955052,279,28.6555446516192,93,30.6281267370762,75
2026,"Lamar",50.9397278029812,155,17.3239234512178,133,29.4300518134715,132,44.3940375891121,347
2026,"Le Moyne",49.2773019271949,78,14.9643373269311,291,29.051724137931,108,32.6552462526767,118
2026,"Lehigh",50.6059009483667,136,16.2538875394429,210,31.7272727272727,240,32.8240252897787,123
2026,"Liberty",53.0746268656716,271,17.2289642142258,136,32.5726141078838,288,26.2089552238806,15
2026,"Lindenwood",49.1199119911991,74,18.4418044666598,78,31.7531305903399,241,37.4037403740374,248
2026,"Lipscomb",53.1885651456844,274,17.7068248978679,117,30.1797540208136,171,28.9719626168224,46
2026,"Little Rock",51.7613636363636,200,18.5414624825095,71,36.5969581749049,357,33.0681818181818,131
2026,"Long Beach St.",53.6678403755869,291,17.5212334576551,123,27.7892561983471,62,42.2535211267606,327
2026,"Longwood",53.8056930693069,293,19.7782186337351,29,27.7207392197125,60,42.1410891089109,325
2026,"Louisiana",52.6143790849673,246,18.2525327753544,87,32.1678321678322,265,45.8110516934046,352
2026,"Louisiana Monroe",57.0870244919229,358,15.6638125018265,247,35.4745925215724,345,27.6706618030224,29
2026,"Louisiana Tech",48.7096774193548,56,17.9304824358856,104,31.5018315018315,227,36.3636363636364,221
2026,"Louisville",48.7525458248473,57,16.6943304388666,173,26.8790849673203,31,33.4012219959267,138
2026,"Loyola Chicago",52.0249221183801,214,12.9277000040113,357,29.695885509839,145,33.6448598130841,143
2026,"Loyola MD",54.6972269383135,321,15.3029920236763,267,29.0160642570281,106,32.7108092812677,120
2026,"Loyola Marymount",48.8617886178862,63,16.5724518099786,181,32.0143884892086,254,32.4661246612466,110
2026,"Maine",50.6455399061033,138,19.3988833206909,36,34.2885375494071,322,33.9201877934272,148
2026,"Manhattan",53.9311408016444,297,16.6551655574919,176,36.9585253456221,358,25.693730729702,11
2026,"Marist",45.593635250918,7,19.4709153202404,34,28.2649253731343,81,37.5764993880049,252
2026,"Marquette",50.5693581780538,135,19.3078063268331,39,34.6866725507502,331,32.0393374741201,102
2026,"Marshall",50.2934898612593,120,16.2927213294313,205,33.8135593220339,316,41.1419423692636,312
2026,"Maryland",54.4023479188901,313,14.9399853995597,296,29.0740740740741,112,35.752401280683,201
2026,"Maryland Eastern Shore",50.7462686567164,142,17.8898356086282,107,33.641975308642,312,43.0348258706468,339
2026,"Massachusetts",52.8782894736842,261,16.8095225300266,169,26.1395348837209,20,44.5723684210526,348
2026,"McNeese",48.9480198019802,69,24.6134654367931,1,34.9663784822286,339,42.1410891089109,325
2026,"Memphis",48.7689889994762,58,18.5835472648427,70,35.6477561388654,350,42.3782084861184,329
2026,"Mercer",52.543810062182,240,16.9791298195967,158,33.2057416267943,305,29.7343131712832,55
2026,"Mercyhurst",50.1478415138971,112,18.6704452091495,65,29.8959318826868,153,42.5783560023655,332
2026,"Merrimack",46.689802455953,19,20.3685520516978,19,39.8968185726569,365,37.1062466631073,237
2026,"Miami FL",51.7395888244597,198,18.3557408125693,82,26.2923351158645,22,29.0458618871903,47
2026,"Miami OH",50.8436445444319,147,17.4506377566183,125,28.1132075471698,71,30.8773903262092,80
2026,"Michigan",44.4232602478551,1,15.8101933586648,236,27.7569392348087,61,25.9294566253575,13
2026,"Michigan St.",48.5973597359736,52,14.8130949616903,302,22.6381461675579,1,30.9130913091309,81
2026,"Middle Tennessee",50.9501187648456,157,14.9527044946516,292,28.4860557768924,87,35.6888361045131,200
2026,"Milwaukee",55.5,340,15.8315042264045,233,29.2201382033564,123,35.8888888888889,205
2026,"Minnesota",51.8883878241263,210,17.1148694623405,146,29.7560975609756,148,27.28297632469,25
2026,"Mississippi",50.5147058823529,131,16.4439031659652,192,32.5396825396825,285,41.2254901960784,314
2026,"Mississippi St.",50.9397590361446,156,12.7950203164174,358,30.7010475423046,189,32.289156626506,109
2026,"Mississippi Valley St.",55.5122494432071,341,17.0591837870943,155,35.5300859598854,346,50.7795100222717,362
2026,"Missouri",51.4453961456103,184,16.5578873950247,183,31.3672922252011,219,35.0642398286938,176
2026,"Missouri St.",52.0496535796767,217,16.9469211896356,161,32.0512820512821,258,40.2424942263279,302
2026,"Monmouth",50.0527426160338,104,19.8994986084852,28,32.7556325823224,292,32.2257383966245,108
2026,"Montana",50.5356186395287,132,14.3079133315742,327,29.6164139161463,141,32.6191751472951,116
2026,"Montana St.",51.6538688718252,194,15.6845825375776,244,28.2352941176471,79,29.5924394565859,54
2026,"Morehead St.",50.1663893510815,114,15.4366608325654,260,35.8058608058608,351,35.6073211314476,198
2026,"Morgan St.",51.6731016731017,195,16.4756026824992,186,35.1380042462845,342,50.9009009009009,363
2026,"Mount St. Mary's",47.2175848636617,24,15.33330959756,263,29.1304347826087,117,37.3400111296605,247
2026,"Murray St.",52.2784176264397,231,16.0413356249527,224,31.2771503040834,215,32.8993490235353,126
2026,"N.C. State",53.0484627410109,269,18.1844624110572,91,30.3082191780822,177,36.529442417926,226
2026,"NJIT",50.0268240343348,102,16.1994557995317,216,32.1212121212121,262,37.8755364806867,259
2026,"Navy",48.031945236737,41,18.2951064259115,85,26.9160583941606,36,25.6132344552196,10
2026,"Nebraska",47.8016085790885,38,19.1743727133927,44,27.6577355229041,56,24.8257372654156,6
2026,"Nebraska Omaha",52.7377521613833,255,14.0616887787974,333,28.7671232876712,95,33.6023054755043,142
2026,"Nevada",51.047261009667,166,17.3521676653201,130,27.2491349480969,46,40.2792696025779,303
2026,"New Hampshire",53.4461152882206,282,15.8099693519856,237,26.8980477223427,35,35.8395989974937,203
2026,"New Haven",51.8163804491413,204,17.0900530550578,151,26.8181818181818,29,27.6750330250991,30
2026,"New Mexico",49.6451965065502,88,19.114777363846,46,27.5800711743772,53,34.8799126637555,172
2026,"New Mexico St.",48.7001209189843,55,14.6723079160896,312,30.3145853193518,178,44.1958887545345,346
2026,"New Orleans",49.0138067061144,72,14.8495885606367,301,34.4557556773688,325,39.5463510848126,293
2026,"Niagara",52.8236040609137,256,16.6006721911527,179,32.9321663019694,300,33.756345177665,144
2026,"Nicholls",54.3689320388349,311,20.4887809061026,18,33.7410805300714,314,37.9211878926328,260
2026,"Norfolk St.",51.7207792207792,197,18.8063884888369,57,32.2860238353196,271,45.3246753246753,351
2026,"North Alabama",55.1860890787065,337,14.5192521775505,321,32.2791712104689,270,30.3233679072605,66
2026,"North Carolina",48.1674096087172,43,13.6293940598558,344,28.1121187139324,70,23.8236750866766,3
2026,"North Carolina A&T",52.9411764705882,264,14.0950127318089,331,28.6422200198216,92,37.4549819927971,250
2026,"North Carolina Central",54.539762053851,318,19.8998339457556,27,39.3743257820928,364,36.8816530995617,231
2026,"North Dakota",56.5328054298643,353,19.3604768413741,38,32.3643410852713,277,43.7782805429864,343
2026,"North Dakota St.",51.5367103016505,190,18.7313153961136,62,25.7281553398058,17,29.1405805350028,48
2026,"North Florida",56.3157894736842,349,12.7339311975547,360,37.6264949402024,361,31.3784461152882,89
2026,"North Texas",48.4460694698355,49,21.3198514287758,8,32.4196597353497,280,45.0944546008531,349
2026,"Northeastern",56.3896848137536,351,16.7931535604715,171,30.1635991820041,170,41.89111747851,320
2026,"Northern Arizona",56.8986568986569,355,16.5808018002013,180,33.3695652173913,306,32.7228327228327,121
2026,"Northern Colorado",50.0860091743119,109,12.3898195369547,363,24.2277992277992,6,38.7614678899083,277
2026,"Northern Illinois",55.5800756620429,342,16.2607941378284,207,30.0225733634311,158,38.2723833543506,265
2026,"Northern Iowa",47.2085385878489,23,18.1414248385574,93,26.3111888111888,24,29.3377120963328,52
2026,"Northern Kentucky",54.2382271468144,306,18.5996117556769,68,31.640625,234,37.2299168975069,244
2026,"Northwestern",50.9655532359081,159,17.5396295818638,122,34.7085201793722,333,34.812108559499,170
2026,"Northwestern St.",53.0366806975346,268,16.8631271930662,166,32.6219512195122,291,36.3199037883343,219
2026,"Notre Dame",51.7927170868347,202,13.9522979029887,339,26.6666666666667,27,36.1904761904762,212
2026,"Oakland",54.7099652949926,322,15.0596773736286,285,34.4028520499109,324,24.5909766980664,5
2026,"Ohio",52.9854910714286,266,16.0211422698576,225,32.7837051406402,295,38.0580357142857,263
2026,"Ohio St.",50.3695881731785,123,15.7554750275721,239,29.9555555555556,155,35.1108764519535,178
2026,"Oklahoma",51.2189176011702,175,15.3219094769638,265,33.0349877949552,302,34.0321794246709,152
2026,"Oklahoma St.",52.8719397363465,259,15.9489148969544,228,30.7142857142857,191,32.4858757062147,111
2026,"Old Dominion",50.7647679324894,145,14.4764426790246,324,30.3321678321678,179,42.035864978903,322
2026,"Oral Roberts",53.6475869809203,290,14.6763552920929,311,31.8051575931232,244,39.0572390572391,285
2026,"Oregon",50.8856682769726,151,15.7297847687932,242,32.2992700729927,273,32.0450885668277,103
2026,"Oregon St.",50.3366131538063,122,15.3249797169386,264,32.1243523316062,263,35.1113412739513,179
2026,"Pacific",50.0580720092915,106,15.1326548046179,277,24.8856358645929,9,36.3530778164925,220
2026,"Penn",51.7956656346749,203,17.9627513482087,103,30.1166489925769,167,27.6160990712074,28
2026,"Penn St.",58.4239130434783,363,17.6947083789308,118,31.1458333333333,208,27.5,26
2026,"Pepperdine",54.267963263101,307,16.5633440820552,182,34.0175953079179,318,28.4710967044841,35
2026,"Pittsburgh",53.3590308370044,279,16.2161217607074,214,28.0769230769231,69,30.9471365638767,82
2026,"Portland",52.6970954356846,253,16.9974192400107,156,32.4733096085409,282,32.5726141078838,114
2026,"Portland St.",48.7971391417425,60,18.000115385355,101,26.3991552270327,25,42.7828348504551,336
2026,"Prairie View A&M",50.408719346049,126,19.1097209120147,47,34.6920289855072,332,43.9237057220708,344
2026,"Presbyterian",51.1682242990654,170,15.7426377636487,240,30.6498545101843,186,37.1495327102804,240
2026,"Princeton",51.998730964467,211,14.2777712948154,328,28.4782608695652,86,34.010152284264,150
2026,"Providence",51.3673655423883,182,13.1501031180446,353,30.8453922315308,195,32.7256153144941,122
2026,"Purdue",52.283341982356,232,15.7389398635734,241,26.1883408071749,21,26.5697976128697,17
2026,"Purdue Fort Wayne",56.0668229777257,345,19.0816339273449,48,34.508547008547,327,28.5463071512309,36
2026,"Queens",53.9741679085941,301,15.0497406683105,286,33.0155979202773,301,38.7481371087928,276
2026,"Quinnipiac",48.9310529128808,68,17.3896086764512,128,31.9634703196347,251,30.6253340459647,74
2026,"Radford",53.0494821634062,270,18.5135277644329,72,32.1884200196271,266,39.9884925201381,298
